dteday,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
2011-01-01,1.0,0.11079153244362633,0.11079153244362633,1,1,1,3,At Risk
2011-01-02,0.9986301369863014,0.08962264150943397,0.08962264150943397,1,1,1,3,At Risk
2011-01-03,0.9972602739726028,0.15266912103083297,0.15266912103083297,1,1,1,3,At Risk
2011-01-04,0.9958904109589041,0.1771744132535665,0.1771744132535665,1,1,1,3,At Risk
2011-01-05,0.9945205479452055,0.18154624942475842,0.18154624942475842,1,1,1,3,At Risk
2011-01-06,0.9931506849315068,0.18223653934652556,0.18223653934652556,1,1,1,3,At Risk
2011-01-07,0.9917808219178083,0.17119190059825126,0.17119190059825126,1,1,1,3,At Risk
2011-01-08,0.9904109589041096,0.10780027611596871,0.10780027611596871,1,1,1,3,At Risk
2011-01-09,0.989041095890411,0.09203865623561897,0.09203865623561897,1,1,1,3,At Risk
2011-01-10,0.9876712328767123,0.14944776806258628,0.14944776806258628,1,1,1,3,At Risk
2011-01-11,0.9863013698630138,0.14277496548550392,0.14277496548550392,1,1,1,3,At Risk
2011-01-12,0.9849315068493151,0.13115508513575702,0.13115508513575702,1,1,1,3,At Risk
2011-01-13,0.9835616438356164,0.1592268752876208,0.1592268752876208,1,1,1,3,At Risk
2011-01-14,0.9821917808219178,0.16095260009203866,0.16095260009203866,1,1,1,3,At Risk
2011-01-15,0.9808219178082191,0.14104924068108607,0.14104924068108607,1,1,1,3,At Risk
2011-01-16,0.9794520547945206,0.135987114588127,0.135987114588127,1,1,1,3,At Risk
2011-01-17,0.9780821917808219,0.11251725724804418,0.11251725724804418,1,1,1,3,At Risk
2011-01-18,0.9767123287671233,0.07604693971468017,0.07604693971468017,1,1,1,3,At Risk
2011-01-19,0.9753424657534246,0.1872986654394846,0.1872986654394846,1,1,1,3,At Risk
2011-01-20,0.9739726027397261,0.21916705016106766,0.21916705016106766,1,1,1,3,At Risk
2011-01-21,0.9726027397260274,0.17498849516797055,0.17498849516797055,1,1,1,3,At Risk
2011-01-22,0.9712328767123288,0.11033133916244824,0.11033133916244824,1,1,1,3,At Risk
2011-01-23,0.9698630136986301,0.11090658076392085,0.11090658076392085,1,1,1,3,At Risk
2011-01-24,0.9684931506849315,0.16037735849056603,0.16037735849056603,1,1,1,3,At Risk
2011-01-25,0.9671232876712329,0.22583985273815002,0.22583985273815002,1,1,1,3,At Risk
2011-01-26,0.9657534246575342,0.05568338702254947,0.05568338702254947,1,1,1,3,At Risk
2011-01-27,0.9643835616438357,0.047054763000460194,0.047054763000460194,1,1,1,3,At Risk
2011-01-28,0.963013698630137,0.13173032673722965,0.13173032673722965,1,1,1,3,At Risk
2011-01-29,0.9616438356164384,0.12379199263690752,0.12379199263690752,1,1,1,3,At Risk
2011-01-30,0.9602739726027397,0.12356189599631845,0.12356189599631845,1,1,1,3,At Risk
2011-01-31,0.9589041095890412,0.17015646571560056,0.17015646571560056,1,1,1,3,At Risk
2011-02-01,0.9575342465753425,0.1539346525540727,0.1539346525540727,1,1,1,3,At Risk
2011-02-02,0.9561643835616438,0.17303267372296366,0.17303267372296366,1,1,1,3,At Risk
